"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"105374592",-0.0954019711899038,0.229562003996871,-0.884258778398069,0.378260939477837,0.7033624269399,-6.23416558323457
"1389",0.150081865245681,9.55414905711702,0.884187530720155,0.378299242543747,0.703400294920287,-6.23422758559093
"400568",-0.0986212521387775,0.23211698887693,-0.884153574223771,0.378317498556537,0.703400294920287,-6.23425713405053
"105377946",0.170370363404531,0.517757730619416,0.884110927822384,0.37834042729606,0.703400294920287,-6.23429424275452
"100422899",0.137851628847231,2.08505753835035,0.884087991706916,0.378352759203873,0.703400294920287,-6.23431419985116
"6663",0.103733872910594,0.286323933309927,0.883986591653461,0.378407281294192,0.703468443805303,-6.23440242360358
"84532",0.162716356798273,10.1307774948234,0.883939397484811,0.378432658933926,0.703482408563038,-6.23444348177885
"6974",-0.334467677584554,4.20321200947652,-0.883686798411278,0.378568506631344,0.703701719167058,-6.23466320215866
"3805",-0.248195557548111,4.82768863671865,-0.883560073287189,0.378636670804666,0.703795201548552,-6.2347734091859
"57705",-0.133501570682287,10.7022826740073,-0.883499693195768,0.378669151339751,0.70382235086873,-6.2348259134927
"285598",-0.244873604397702,5.84393069116834,-0.88315434434191,0.378854959762401,0.704106037486826,-6.23512614807705
"5533",-0.175452204467115,8.99925831193027,-0.88314954366157,0.378857543077849,0.704106037486826,-6.23513032080905
"101928743",-0.0804650096225961,0.179245734132708,-0.883036739923962,0.378918247556565,0.704137240543418,-6.23522836291761
"107985372",-0.0804650096225961,0.179245734132708,-0.883036739923961,0.378918247556566,0.704137240543418,-6.23522836291761
"490",0.160990534517099,10.9145913311373,0.883018656346316,0.378927979660581,0.704137240543418,-6.23524407890714
"7750",-0.132757228519677,10.6684616161594,-0.882790318536465,0.379050878433878,0.704321418979971,-6.23544249430475
"80210",0.212129078307894,4.55601975362775,0.882743764900312,0.379075938148214,0.704321418979971,-6.23548294112554
"9455",-0.161784067759894,6.51198727821949,-0.882734815703354,0.379080755598398,0.704321418979971,-6.23549071614294
"105375545",0.137918999467373,0.938492038093701,0.882623482368378,0.379140690732393,0.704399539411092,-6.23558743547883
"105373195",0.162227879559049,5.12673966424434,0.882488316398032,0.379213463845802,0.704501502825775,-6.23570484290731
"4316",-0.159892052944217,0.392548093010269,-0.882350007823288,0.379287937933756,0.704599545106681,-6.23582496167686
"102724339",-0.172755814369085,0.964406827809772,-0.882293965755102,0.379318117121433,0.704599545106681,-6.23587362801834
"80212",0.154562536321936,8.05118783456261,0.882290618539502,0.379319919676235,0.704599545106681,-6.2358765346085
"5449",0.169251562611874,1.03084297261739,0.882236223059009,0.379349213677078,0.704620719739074,-6.23592376797481
"200010",0.27431131276671,7.56262852270821,0.882048930064671,0.379450088732631,0.704774844053589,-6.23608637858394
